x,y,z,date
0.28,0.79,0.08,2018-12-11 10:52:13.064885
0.42,0.65,0.23,2018-12-11 10:52:13.086399
0.47,0.29,0.34,2018-12-11 10:52:13.108274
1.61,0.04,0.91,2018-12-11 10:52:13.129987
2.56,0.5,0.79,2018-12-11 10:52:13.151777
1.55,0.56,0.41,2018-12-11 10:52:13.173950
1.09,0.17,1.69,2018-12-11 10:52:13.195577
2.04,1.82,2.25,2018-12-11 10:52:13.217342
3.17,0.75,0.29,2018-12-11 10:52:13.238852
3.93,0.62,1.21,2018-12-11 10:52:13.266890
1.91,0.46,0.29,2018-12-11 10:52:13.288563
1.05,0.89,0.05,2018-12-11 10:52:13.310349
0.47,0.98,0.24,2018-12-11 10:52:13.331952
0.07,0.77,0.22,2018-12-11 10:52:13.354148
0.49,0.63,0.06,2018-12-11 10:52:13.375637
0.61,0.58,0.12,2018-12-11 10:52:13.397522
0.54,0.55,0.23,2018-12-11 10:52:13.418962
0.48,0.56,0.22,2018-12-11 10:52:13.440495
0.41,0.62,0.15,2018-12-11 10:52:13.463212
0.39,0.72,0.02,2018-12-11 10:52:13.485126
0.38,0.97,0.14,2018-12-11 10:52:13.506610
0.48,1.08,0.16,2018-12-11 10:52:13.528381
0.49,1.12,0.07,2018-12-11 10:52:13.551103
0.39,1.12,0.1,2018-12-11 10:52:13.573056
0.31,1.08,0.07,2018-12-11 10:52:13.594767
0.25,0.99,0.03,2018-12-11 10:52:13.616237
0.25,0.93,0.02,2018-12-11 10:52:13.637308
0.26,0.94,0.03,2018-12-11 10:52:13.660135
0.25,1.03,0.02,2018-12-11 10:52:13.681819
0.28,1.01,0.03,2018-12-11 10:52:13.703672
0.31,0.98,0.01,2018-12-11 10:52:13.725181
0.31,0.96,0.01,2018-12-11 10:52:13.746793
0.3,0.98,0.05,2018-12-11 10:52:13.768867
0.35,0.9,0.03,2018-12-11 10:52:13.790453
0.36,0.66,0.07,2018-12-11 10:52:13.812322
0.39,0.37,0.14,2018-12-11 10:52:13.834310
0.75,0.14,0.55,2018-12-11 10:52:13.856113
1.68,0.2,0.89,2018-12-11 10:52:13.878002
2.86,0.38,0.71,2018-12-11 10:52:13.899768
1.99,0.75,0.2,2018-12-11 10:52:13.921423
1.17,0.7,1.37,2018-12-11 10:52:13.943055
2.52,2.14,2.47,2018-12-11 10:52:13.964830
3.23,0.01,0.79,2018-12-11 10:52:13.986330
4.04,1.32,1.52,2018-12-11 10:52:14.008083
2.56,0.24,0.62,2018-12-11 10:52:14.029826
0.82,0.8,0.07,2018-12-11 10:52:14.051563
0.54,1.01,0.19,2018-12-11 10:52:14.074053
